caseID,verbatim
3, //speaker of the house// 
4, HOUSE SPEAKER FOR U.S. CONGRESS OR SENATE 
9, SHE IS ON THE SENATE 
11, SHE IS THE SPEAKER OF THE HOUSE 
16, speaker of the house 
18, don't know 
20, speaker of the house 
22, IR does recognize the name but does not have a guess as to what office she now holds. 
24, speaker of the house(friend knew not respondent 
33, speaker of the house 
35, Speaker of the House 
38, speaker of the house 
46, mayor 
52, speaker of the house 
63, don't know 
64, Senator 
67, speaker of the house 
75, i have no idea 
77, congress woman from san francisco and also speaker of the house 
78, speaker of the house 
79, secretary of the senate 
81, speaker of the house 
85," majority leader in congress, democrat "
89, SECRETARY OF STATE 
90, dk//dk her nor the jobs they have 
92, dk//someone in the senate 
94, dk//governor 
95, no answer// i'm not sure honestly 
96, house of representative member 
106, speaker of the house 
109, she is a /i would say finance/ R really didnt know 
112, democratic 
114, R dosent know at all/i really cant even guess or know what to say/ 
120, haven't heard about her 
122, speaker of the house 
125, house of representatives 
126, speaker of the house 
127, press secty 
131, speaker of the house 
132, senate 
134, no guess at all 
139, speaker of the house 
144, speaker of the house 
150, speaker of the house 
152, speaker of the house 
155, senate 
156, speaker of the house 
160, senentor 
161, don't know// 
163, dont know 
165, don't know//dk 
167, <RF> 
169, dk 
173, canada governor 
177, speaker of the house 
180, speaker of the house 
182," gavel in her hand, speaker of the house "
183, isn't she the head of the senate for the democratic party? the democratic leader of the congress? 
184, i don't even know who that is//i don't know  
185," don't know,// house of rep // wait , is she the speaker of the house?  yes i think she is speaker of the house of rep "
187, <RF> 
188, speaker of the house 
193, press secretary   
194, r said nothing comes to mind. 
196, specker of the house 
199, senate 
202, speaker of the house 
203, i don't know//speaker of the house 
206, d/k// 
208, dk//dk 
209, speaker of the house 
211, shes a 3rd in line for presidentspeaker 
214, i don't know//don't know 
218, Don't know at all. 
221, dont know 
229, dk// 
230, house of rep/speaker of the house 
231, D/K//NO 
232, SHE IS THE HEAD SENATE// 
233, house 
234, speaker 
236, Speker of the House 
241, dk// A congress woman 
243, speaker of the hOUSE  
247, HOUSE Speaker 
249, sPEAKER O hOUSE 
255, speaker of the house 
258, speaker of the house 
263, I dont' know no guess 
264, congress 
273, <RF> 
275, house of representatives majority leader 
277, senator 
279, speaker of the house    from california 
280, mayor 
282, speaker of the house 
286, house of representatives 
287, speaker of the house 
289, speaker of the house 
293, head of the house of representatives 
294, speaker of the house 
298, I don't know 
299, i don't know// no 
305, I don't know much about her. 
306, I don't know// I don't know what she does.// no 
309, I don't know// congress I don't know 
310," candidate's I can't remember, I saw her on Secretary of state I can't remember "
315,  I don't know 
317, speaker of the house 
320, i am not sure 
325, speaker of the house 
328, speaker of the house 
334, california's something state representative//no 
337, speaker of the house 
340, work for bush//no 
341, congress women from california and speaker of the house 
346, Speaker of the House 
349, speaker 
350, speaker of ?//something in California//in the senate from California 
351," no idea, secretary "
353, don't know//no 
354, speaker of the house 
356, military personal 
361, //don't know 
362, speaker of the house 
365, democratic leader 
367, treasury 
368, was scandal 
373, anchor woman 
375, speaker of the house 
376, undecided 
378, head of the house 
379, state representative 
380, congress 
381, senate 
382, speaker of the house 
386, congress 
388, no idea 
392, speaker of the house 
393, governer 
402, senator 
403, don't know 
405, speaker of the house 
409, house of rep 
411, senate majority leader 
412, speaker of the house 
413, speaker of the house 
417, dk//dk 
418, House speaker 
421, speaker of the house 
422, sounds like janitor 
423, dk//dk 
424, speaker of the hhouse 
426, representative 
427, speaker of the house 
428, dk//dk 
429," speaker of the house, of the Democrats "
430, dk//dk 
431, congress 
432, Governor 
433," dk//senate, or running for governor\ "
434, dont know this woman 
436, dk/house representative 
438, It's a State job isn't it 
439, dk//maybe to do with the supreme court 
440, dk// 
441, dk/dk/ 
443, dk/dk 
444, dk//dk 
446," the leader of congress, the majority leader "
449, dk//dk 
453, secretary of state 
454, speaker of the house 
456, respondent has no clue 
457, secretary of state 
458, secretary of something 
459, //don't know//no 
461, don't remember. 
463," respondent said she ""has no clue"" "
464, don't know//no 
466, //senate. 
473, GOVERNER OF ALASKA 
475, majority leader 
480, //don't remember. 
481, senator 
482, have no idea 
483, chairman of the house 
484, dont knowS 
487, speaker of the house 
488, senate 
489, don't know 
492, speaker of the house 
494, i don't know her 
498, R  has no clue and is unable to guess 
499, DOES NOT RECOGNIZE EVEN AFTER PROBING 
500, R has no idea 
501, DOES NOT KNOW - USED PROBE 
502," respondent has never heard of her.  ""I don't want to lie to you.  I would prefer to give you a direct answer."" "
504, R does not know - even after a probe 
505, CITY COUNCIL//IN PHILADELPHIA(WHEN PROBED)//NO 
506, doesn't know after probing 
509,  does not know//office//no 
510, R cannot guess 
512, was she a senator???// congresswoman  
516, CHIEF OF THE HOUSE OF REPRESENTATIVES 
517, HOUSE SPEAKER 
518, SPEAKER OF THE HOUSE 
519, SPEAKER OF THE HOUSE OF REPRESENTATIVES 
520, SENATOR? 
521, HOUSE OF REPRESENTATIVES? DEMOCRATIC 
525, SPEAKER OF THE HOUSE 
526, house leaeder 
530, speaker of the house 
531, big wig 
533, speaker of the house 
535, speaker of the house. 
536, i dont know//no// 
538, speaker of the house 
539, i do'nt know//i really don't know 
543, dont know/i dont know/no/ 
544, i know her name the us house of rep 
545, head of congress 
546, i have no idea//i have no idea i really don't know any of them 
548, //clerical worker 
549, i don't know her //realy do n't know 
550, //clueless//no 
552, i have no idea//i have no clue//no 
553, i dont know//secretary of state 
556," //i dont know, I dont know who she is/no "
557, forget//in congress//forget 
560,  i cant remember//no 
562, i don't know//i don't know 
563, dont know//no 
566, sec of something // is it the house / i don't i'm guess 
568,  hold a conseaa seat 
569, speaker of the house 
570, speake of the house 
573, heand of the house of reps// she is the speaker of the house  
574, speaker of the house 
576, speaker of the house 
578, i don't know// I have no idea 
580, no dont recognize 
586, dont know her 
587, speaker of the house 
588, i dont knows 
589, democrat spealker of the house has control of somthing 
590, not sure// na 
591, idont knows 
592, don't know of her//na 
593, speaker of the house  over the senate 
597, house speaker 
598, mayor//na 
599, speaker of the house 
600, speaker of the house 
602, press secretary 
603, speaker of the house 
604, something high in government I don't know what it is//na 
605, no clue 
607, dk 
608, speaker of the house 
611, dont know who she is 
613, speaker of the house 
614," DON'T KNOW THE NAME// SHE HAS AN IMPORTANT POLITICAL POSITION//SHE IS IN A REPRESENTATION DEMOCRAT AND SHE HAS BEEN RESENTED ABOUT HER RECENT JOB RECENTLY//NAME, DON'T KNOW//STOP "
616, <RF> 
622, dont know 
623, governor of alaska 
624, SPEAKER OF THE HOUSE 
626, PRESIDENT OF THE HOUSE OF REPRESENTATIVES 
627, I DON'T KNOW//JUDGE//STOP 
629, TOP OF THE HOUSE OF REPRESENTATIVES 
630, SPEAKER OF THE HOUSE 
631, NO IDEA//DON'T KNOW WHAT TO SAY//I DON'T KNOW//STOP 
632, PRESIDENT OF THE SENATE 
633, DON'T KNOW//NO CLUE//STOP 
637, LEADER OF THE HOUSE OF REPRESENTATIVES 
641, senate 
642, something in congress 
643, no idea// no guess//na 
644, judge 
645, head of house of representaives 
646, speaker of the house 
649, senator 
650, don't know// house representative; not a senator/na 
651, common counselor 
652, don't know// can't remember//na 
654, senate 
655, do not know her 
656, speaker of the house 
657, no idea// no// na 
658, don't know secretary of something//na 
659, house of representatives 
660, sectetary of state 
661, school prinipal 
662, speaker of the house 
664, speaker of the house 
665, don't know// na 
667, she is in chargeof the house of representatives 
668, top democratic lady in congress speaker of the house 
669, no idea//no guess/na 
671, i have no idea 
673, senate rankingsenator 
676, speaker of the house 
679, speaker of the house 
680, speaker of the house 
681, speaqker of the house 
682, never heard of her  
683," italian, dont know "
684, heard her name not sure 
686, speaker of the house 
688, She is the Speaker of the House 
689, Speaker of the House 
690, SENATOR 
691, I don't know///I don't know really 
693, Speaker of the House 
694, Speaker of the House 
695, I don't know what options....try Speaker of the House 
696, Speaker of the House 
697, I have never heard of her. 
698, She is Secretary.....I know...Speaker of the House 
700, Speaker of the House 
702, SPEAKER OF THE HOUSE 
703, Secretary of State 
704, Head of House of Representatives Majority Leader from California 
706, she is speaker of the house\\ 
707, secretary 
708, democrat// what is her job or title// I have not heard much of her// I forget what office she holds. I know she is in the Senate 
711, i am not for sure// your best guess// maybe she is in the senate// NO 
712, senator 
714, senator 
715, speaker of the house 
716, i don't know// best guess/  I don't know //NO 
718, speaker of the house 
720, congressman 
721, speaker of house 
722, don't know 
724, speaker of the house 
725, house speaker 
727, senate majority leader 
729, works in federal government finance 
732, chairman of congress she persides over it 
734, dk// no idea 
736, //not a clue// 
739, dk no idea 
740, speaker of the house 
742, //she is something to gorge bush I just know the name // 
743, the secretary of state 
744, dk/no idea// 
746, dk//no idea but the name is familar 
747, dk no idea couldn't tell you 
748, no idea dk// 
749, i don;t know 
750, speaper of the house 
751, i have no idea 
752,      don't know 
754, speaker of the house 
756, speaker of the house 
757, oh my god I know the name but I have no clue//stateman 
758, speaker on the house of rep 
759, i don't know 
760, speaker of the house 
761, i have no idea//is she a conacseeman 
762, house skeaper i belive 
763, i have no idea//consee 
765," she is the head of I, believe it is congress "
768, the veteran's affairs liaison 
770, Lt. governor Alaska  
774, Don't know//I have no idea 
776, speaker of the house//no 
778, dON'T KNOW//DON'T KNOW 
779, cdon't know//DK 
782, don't know//um don't know 
784, Democrat majority leader of the Senate 
785, gOVERNOR OF aLASKA 
787, don't know//Republican 
789, DON'T KNOW//don't kmow 
790, Congress a gustimate 
792, speaker of the HOUSE 
793, don't kow//person in the house 
795, Speaker of the House of Representatives.// 
797, Don't know./don't know.// 
800, I know the name./I don't know what office.// 
801, Don't know/No guess.// 
803, No idea/Secretary.// 
804, I have no idea./No best guess.// 
805, Don't know./No guess.// 
806, Main one - Speaker of the House.// 
809, Speaker of the House.// 
