caseID,verbatim
141,an uninformed electorate and a biased media and too many people wanting something for nothing.  Too many people depending on the gov for their well being.  Too many people wanting the safety net to become a hammock.  Some voter fraud. // 
207,"he had a better campaign and got more persons to vote, they dont know why they voted byt they voted "
264,"because of the way the republicans are running things and the economy, Barak Obama spoke very intelligent and I think his appearance and attitude and himself alone. he seems like a wise man to me, very down to earth and can relate better with us lower class people "
431,"he achieved support, evidently//he achieved support of people saying wht can it hurt, give it a chance, "
446,"he was something completely new and different from George Bush and what Geore Bush represents, and most people are very upset with how he has handled things// "
496,<DK> 
548,heard that people wanted a change and he was going to change the economy and dealing with the deficit issue. 
616,<RF> 
642,because he was black 
683,to tell you the truth I think he won brought out alot of people that normally did not vote in other elections and he campaigned to the younger people// and they voted for him because they thought it was cool rappers made songs etc//He promoted hope and sd it would be differnt with him and it sure will// 
685,"because of an uninformed electorate media bias, "
953,BECAUSE HE IS BLACK 
1190,young voters and all black voters who pulled a straight ticket 
1360,"""the media bias and had lot's of money//"" "
1462,because he is black 
1595,got the most votes; promised what people wanted to hear 
1626,because everybody wanted a black person 
1753,"Money, Anytime you can buy time on the main stations you can get it. "
1853,"he had a great compain stragy, the american wanted something different than what was up there "
1957,I don't know-I didn't pay attention to it. 
1987,He had a good team & picked change as his mantra & appealed to young people & people were ready for somebody different. 
2182,people wanted a change- get away from bush// his demeaner inspires confidence// likable guy// none 
2196,"got out the vote of blacks, brainwashed young people, "
2220,"bec they had it made // we had rep pres 8 yrs, the dems got hillary to step down to put barabck in there, she'll never forgive the dems for that, she'd hv voted for hillary, but never for obama -- the only reason she stepped down was bec he was going to give her a position, like rt now // they thought that hillary didnt have a chance of winning it AND THEY GAVE IT TOHIM // "
2260,i think young american and labor put him in office and california. 
18,wasn't young enough//
29,he didnt campaing enough
85,the rep track and poor capaign ; poor pres director; should have brought out info on pbama that would have matter against him
133,because barack obama happened to say a lot of things the american people wanted to hear.  he had all the right answers.
375,"because he is a moderate""//"" compared to a more conservative"
404,more people voted for obama//no
416,Because of the way obama was helping a variety of people and mccain was only helping a few of the ethnics groups//
424,"he did not run a good campaign, he didn't raise enough money, I don't thinlk he was the best candidate//we could have picked a better republican candidate//Obama ran an amazing campaign, McCain wasn't a match for that campaign//"
441,"because he came into the race late//a lot of his views were the same as george bush and people don't agree with bush, and were afraid he would be a copy//"
485,it was a rejection of white male candidates
559,did not spend enuff time in the right places.
565,the news and miad//i he was not the brightes blub on the tree no
636,SARAH PALIN
672,I think because the United Staes was ready for a big change Mccain never got it out that he was different from Busch and the youger generation wanted a change and wanted somone with youger ideas not being a72 year old yong fresh he understood the youger group better than Mccain did
674,him not being black he lost because he was white he lost gagainst the first black presidential canditate that was not balck
703,Because Obama had all the celebraties backing him
865,"THE PEOPLE BOUGHT INTO THE ""CHANGE"" THAT BARAK OBAMA PROMISED THEM."
1117,people wanted change; //I think that's the primary reason
1173,<DK>
1174,campagin not well organized -- too nice to do the things needed
1264,age
1277,cause he was a republican
1438,everybody on welfare voted for him// and surposidly people who were registered were unable to vote.no
1475,because of the electoral votes instead of the number of votes//no
1548,"honestly, I'm not sure//no"
1647,he threw the election//for political gain//never attacked his opponent..he threw it for politcal gain//no
1767,"Because he was white,"
1778,they campained and had buses that took them to the polls.
1791,because they didnt like his running mate and they could not take another four years of the republican policy because he was going to go right along with president bushs policies.
1822,not enough votes// no
1844,"he did not have strong conservativae convictions//did not have a clear message//state of the enocomnuy during the last of the election//he did not have full support of the conservative base//people wanted something different, not the same//no"
1861,because of george bush
1881,I THINK THERE WERE MANY FACTORS LIKE HIS AGE AND HIS HEALTH AND THAT HE HAD SEVERAL HEALTH PROBLEMS AND COMPARED TO OBAMA WHO IS YOUNGER I THINK THAT HAD SOMETHING TO DO WITH IT
1908,i dont knw
1977,he wasnt a firm in his speakingt out on what his or his parties beliefrs
2059,George Bush//i just think things had gotten much worse//people have goten him confused with George bush//none
2206,poorly run campaing in the last month// he should have fired all his staff//palin- hurt the campaign// the staff tried to mold her into something that she wasn't. the made her out to look like a bad mother based on her teen pregnancy // the made her out to lookstupid//none
2229,too old // just too old
210,"well because they were a loit more blacks that voted this time, i think young people voted for him for youth, i dont think he told the truth//no "
949,people are igorant and wanted change that will not happen 
1248,everbody was scared that mccain was bush jr. 
1860,because of the last eight years 
20,I think the timing of the Wall Street problems hurt him.  The economy problems.
199,new media
544,b/c of es runind mate
1871,"because people did not pay attention to the issues, but voted on feelings."
1911,because obama had more money backing him
