caseID,verbatim
35,they pay lip service to the environment
41,they seem to be more focused on poverty
52,they help the economy more than the republicans
56,they are going to make change and make it better
61,more liberal then they been
70,"the fact tht i believe they will take care of not only the top part of the country but will take care of the people who need to be rewarded for their work, focus on foreign policie3s and diplomacy restore image and credibility of us in the world, focus on health care for everybody, and regulation as far as economy is concerned to prevent situation like we are in now"
78,no
83,like what he says about taxes
84,they think about everybody around the world
89,when we have had dem leaders they have led us in a good way
91,health care issues
95,think they can clean up the mess the republican made
100,care more for the unskilled and uneducated
132,socal walfare  & right to choice  & i all so like
135,pullin out of the war
136,party for the younger people
158,they balance the budget and can still provide great services for the people who need it.
167,they want to make changes and we need change
176,"they give more vision for the average person in America, have more specific plans for education, and environments,health care"
181,they were for the working class
197,"he likes that he provide good education, stable economic"
200,I like they seem to be on same page even with the republicans.  I don't vote for any partt
216,i am in favor of all the ideals they have
219,"all the things they are trying to improve, the economy, to change the country, bringing our kids back from war, they are being killed for nothing, working more for the blue collar people than the white collar people, giving more opportunities"
221,"THEY DO REPRESENT A VAST POLITICAL PARTY, THAT COVERS ALL RACES. AND MALE AND FEMALE FROM ALL WALKS OF LIFE. GAY AND LESBIAN"
229,"has probabilities for middle class,"
238,"they do tend to try to help the community a bit more, everyone has to agree, it 's ablend , wish there were more options than just two, i would like ralph nader, i'd like more time to think about the issues, can't wait til i graduate to have time for other things"
251,I was raised Democratic and my parents were democrats and saved them from starvation.  I always agree with what they have done.  A party of the people more than republicans
259,they try to mhelp people
274,"usually like their positions on enviromental, womens rights"
285,it feels like kinder people to me
290,they seem to try to side with the underdog as much as possible.
292,that they are for the people
299,they are for the people
305,"they care for the minorities, and there are alot of things they are trying to do, like working in favor of the people, medical for people give alot of support to the people"
309,they are trying something different
317,people oriented
321,im one
336,SEEM VERY HOPEFUL PROVIDE EQUAL BENIFITS AND STANDARD OF LIVING FOR EVERYONE
352,"for working people, not for big business, more in favor of women's rights, health care, taxes way economy should be ran"
355,"they're usually less conservative than republicans, they're usually much more apt to be in favor of something like universal health care, just a little more in line with my beliefs"
362,tend to appeal to more varied groups
392,more for everybody
399,liberal nature social program concentration
409,pro abortion
423,"i like the way their campaign is appealing to a certain demoraphic they're going for, the vision of their campaign to the people is put together well/i like the fact that a black american is running for office/"
437,"They seem to care more aqbout personal issues like health care and education, they seem to show a more genuine care, plus they seem to want to end the war/"
439,"because they have always wanted to do more for middle class and underprivileged people, poor, because they represent more what you are as a person, not always about money, money, money/I like that they are in agreement with unions for work/some of their ideas on imigartion reform/like when clinton was in office he tried to do more to help people in Mexico get permits, went out of his way to try to help them, never talked bad about the Hispanic race--any democrats for that matter.  I met Al Gore in person.  I just like the way they think/"
446,"They support the national health, they look to support and care for all citizens, regardless of how much their annual income is/"
448,"They work more for the little people, with health and all the issues that are on the ballot, if you odn't have good health insurance, I don't know how someone after they are retired can make a living, by the time they get to social security they don't have money to pay for their medicine.   We'll have more money in our pockets/it's just the working class entity"
455,the party is more for the people and they are more reasonable
464,"equalism for the whole world, they're looking for ways for everyone to be on the same level not only economically but in all things."
483,"strong leadership, they're for change, have ideas"
492,"they are not too argumentative as a party, the republicans stay at it"
497,they are more geared to helping poor american people
502,"they have an african american man representing us, to see what positive change will come about with a new president"
503,seem to bring about better living conditions for the middle class the economy is better under democrats more fairness seems more comfortable living middle class
506,"try to keep prices & taxes down,"
507,they do more for the little people
508,"more down to earth, more sincere about going about business"
513,they don't have a war when they are in office
519,"THEY SAY THAT THEY LOOK OUT FOR MINORITIES AND THE POOR, BUT I DON'T KNOW IF I REALLY DO BELIEVE THAT, BUT THAT IS WHAT THEY SAY."
520,they are more open to equality.  seems they are more about freedom.
532,they are actually more into the people bill clinton came to jacksonville and spent time with the people and he jsut didnt come once he came a few times everything was almost perfectbuschs dad was good a real good person
545,the democratic party fights for everybody.
549,"TAX BRACKETS AND ALL AREin favor of folks like myself, want to pull out of the war and healthcoverage"
563,well you know from what I hear lately they don;t do any thing they all just want that chiar and the money the take away from us
585,"i like the fact that they try to include all  pepole in the nation blacks hispanics all incldued  they seem to spekak more to the needs of the pople and try to solve problems based on the needs of the people,"
589,they want change i like the ideas about health care and their veiw on the war
599,a more common tough toward people; good times under democratics
602,"old school thought for common man, parental favoritism as youth"
608,dedication to welfaare to lower and middle class food and health care
614,they have attempt to fairness
615,when their power the economy is better
622,they try to help people like me
623,"end the war in irak, the elderly, cuba"
629,for the average people
644,work more for the poor
651,social spending
668,"theyare more focused on fixing onproblems in our country before other countries, and they are trying to helo the lower and middle class"
669,besides john f Kenned y nothin
677,i think that b clinton did ok but he had problems dk
699,Wish they had a stronger candidate like Huckabee and Guiliani.
704,"I like their ideals, fair education, health care and some type of Welfare and out country should be able to provide."
706,they are more intelligent; they are more compassion; they are considered with how people are living their everyday life'
709,that they are for the lower class people and they are for helping the lower class people
710,some of the causes they champion
718,"to are out for the middle man; it seems like when we have a democratic president, we have jobs, more money, the economy is doing good; less war;"
721,concerns for things that affect society
734,the democratic party focuses on teh ppl that are struggling as well as teh ppl who are making it
758,i just feel that thay are more fair towards to whole county and not to one party
778,I just like being a democrat.X that's about it
785,"Well it seems like it's fair & it's for everybody, I've always been a democrat & belive it helps people"
789,It's the lesser ofwo evils.X nothing else
791,"i'M A FIRE FIGHTER lt. oN FIRE DEPT. rESPONDING TPO EMERGENCEY CALLS, FIRES, MEDICAL SERVICES & 1ST AID, DISASTER RESPONSE"
798,"I am a Democratic person; I think they are more for the poor, not so much the money aspect of things; for the people, not for the money."
799,"I know they are going in the right direction, and it looks like things will be better if he is elected."
802,"The Democrat party has more experience when it comes to dealing with world/foreign policy; liked Hillary Clinton, really upset her that she didn't get nomination; good integrity, stays intact when someone favorable is running - Hillary is one of those people; the only reason she is supporting Obama is because Hillary said to; is a long-term Democrat; likes that they go after issues like global warming; likes the fact that when someone is talking, there is unity - Hillary showed great humility and character."
805,Focus on change; focus to bring things back to the booming economy we had during the Clinton era.
810,"Generally for the working people, supposedly."
812,have to have two parties
814,No answer - skip.
816,tied to do as munch as they can for middle class
819,Hillary Clinton
826,work for a school system and democratic party have been more favorable toward the teachers and working class they try more then the republicans do.
831,win they are in office there are lease some jobs created
832,Helping hand attitude - not everyone is blessed to have a silver spoon/helping hand/weathy family; they believe in giving help/breaks.
841,they seem to keep us out of recession as far as unemployment goes and foreign aide
842,They are liberal but do seem to have policies more toward the middle class that makes things better for us.
850,i think they are for the poor people i think they are better for the poor people in health benefits and medical care and prescription and help provide food and help provide cash assistaqnce etc. for the elderly
860,they do stuff for the working people
862,they cater to the minors
870,I THINK THEY ARE FOR THE LOWER CLASS OF PEOPLE. THEY WORK HARDER AND ARE MORE DOWN TO EARTH. MORE LIKELY TO BE HONEST.
871,PROTECTION OF THE ENVIORNMENT. GUN CONTROL.
881,"becasue of the fact they are trying to better the people, they are trying to reach out to the have and not have, they are more concerned about people and positions, money, instead of being the poor needy and sick. People are crying for help everywhere. The more they cry the less they get."
883,demo party becasue they are trying to work together to make a change
885,I dont know
900,"To me, the dem party pays more attention to the needs of the class under the middle class, and they make provisions for that class."
904,"They have more people in congress, and that is better for the democrates"
909,"I am in their taX BRACKET,I like what their politics say"
914,they care about the elderly and healthcare   they care about the less fortunate and I have always voted demoncrat
915,"democ they try to help country and economy, the way we live,"
925,"it is for low income and it helps us,"
927,"I am democrat they are for change ,education they are for health care economic crisis,"
947,You like when he say that it will be change
954,health care
963,"they sould stop the war,"
970,they r for the working person
982,they have empathy towards the have-nots in our society
995,I think they are more for middle class people
1010,"I think that they're more for the regular/common/average person, but I also don't like that they sometimes want to give in programs that will tax us a lot, since I'm on a fixed budget...but I don't have to participate in a lot of them"
1017,"they're more for the poor people, barack was raised by a single parent, so he knows how single parents and blue collar people are doing, they're for health care,"
1024,dem. party is for the people that are low income.They are trying to get health care for everyone.seems like the dem.party is for everyone not just the poor.
1035,they want to work towared the low class poor.
1039,they are for the working class and they help out the lower class.
1040,they are out to help the middle class people such as health issue
1046,health insurance
1047,A Black man is running.
1049,I like the way the handle things.
1053,"they try with the country, for everyone, they are trying to do for the counrty what is best"
1058,"They try to spread the wealth. They try to do alot of things for the people, but some parties try to stop them."
1061,I think they are the more realistic party and they deal with things better. They also more realist about they way that handle problems. Also they are fair to all people.
1066,They more for the people than the republicans.
1067,"They seem to be more sensitive  to the average person, and their healthcare policies are better."
1069,They are willing to look at the concept of change and  a idea  that maybe different than thier own.
1070,"I believe that they are the party for the people, main street U.S,A."
1076,"they are more for the common person, more democratic, the two are similar when they get into power and use excesive means,"
1083,"they try to do more for the lower standard people,"
1086,they are more for the people and not as much for the businiesses
1090,they are for the people
1094,they are for the people.
1096,they are more for everybody...republicans are just for the rich
1106,they're a little more concerned about the actual experiences of people; that they try to relate to what is happening to the average person
1107,they have a more socially liberal agenda;
1115,seems like they're more family oriented; the only president I was old enough to understand was Bill Clinton and I thought he was great for the economy
1121,"for the common man; for public prorams -- health, education, social security; I like their liberal values; they are basically more honest people in the democratic party; they stand for what I believe in as a citizen; I trust them more;"
1132,more compassionate toward poor people
1134,fair
1141,The Demnocratic party is favorable as far as the Middle Class and Lower Class people on minimum wages with no healthcare and better jobs//no
1144,honesty and fairnest
1155,"They're designed to help the lower and middle class to have s chance to better themselves/ they are not trying to take away their social security, healthcare and retirment plans/"
1156,They seem to reach all people regardless of creed or nationality//
1179,they say they are for the little people
1189,they know what is good for the country.
1196,they are more for the blue collar workers
1197,feel that they are more for the general population; more ambitious
1204,they likes to involve the government more in the running of the country
1207,"they put people first, they look out for the moral majority"
1210,they are more concerned about what's going on in the black race.
1216,I like their compassion for the working class people and I like that they want to bring the people up.
1217,"they try to be diverse, they strongly to be for the working class, they try to help the issues we have."
1221,"well they're talking about change, don't know if it'll happen..."
1227,they are for the people.  things seems to go better when democrats are in control.  Crime rate goes down.  we are not in a bind as a country when the democrats are control.
1272,i like their importance of education.
1278,"flexibility, diversity,"
1285,"energy policy human rights policy, congressional makeup and DPC leadership"
1293,"they seem very enthusiatic about providing change in the war, healthcare,schools,jobs,helping with the economy etc........."
1302,They are more for helping people and their health care views are great and socia security and medical care they have a greatr plan
1314,"change and willing to change,more for middle class,"
1319,for lower class people
1334,"they help people, take care of older americans, take care of medicare,"
1336,brought up a democrat
1343,they try to help the needy
1349,middle class; blue collar focus
1362,help the poor
1368,concerned about average citizen
1371,for lower class people
1380,I feel they are working toward our economy stabilized
1383,they are all fired up and ready too go
1386,I like the fact that they want good for all people. I like that people are very important. I like that they want to have a dialogue on war and those type of things
1395,I like the way they are going toward the smaller people or the middle class instead of toward pewople with power and money
1408,"they are for the working class,"
1415,"Barack Obama,"
1418,I like the way they try to help the american people Do they acomplish that no but i LIKE THE WAY THEY TRY
1421,"they to be the good guys, sometimes they fail being the good guys. They still to the right thing. I have a good impression of them seemm"
1422,"name.  quality that it represent, equality. treats all equal."
1431,some of the efort s around education and family
1433,i think effort toward social reforms that are need
1436,don't like how any party can be purchased or influenced by companies that what there agendas taken care of.
1451,The principals of the democratic party such as social system like health care and economics of country.
1461,years ago they were better (when Kennedy was president) - R doesn'nt really know why - more got done
1469,they are for the environment
1474,they seem more for the middle class people.
1479,they are more attentive to the working class or the working poor.
1480,since I was a young girl I watched both parties the democrats were more forthcoming with giving to the needy
1515,"they are more favorable for the working class and the poor, more social programs"
1516,defends all people.
1526,they have unity...not going all over the place.
1535,they're more fo rthe poor man
1546,"they're Democrats, really doesn't know, but that sh'es been a Democrat all of her life"
1547,they are for the working people
1551,seem to be more for the lower class people
1554,"it's a more inclusive party of all races, types it's more representative of the true demographics of our country. Generally the party platform is more caring for the poorest and the middle class. Ov erall, presidents in recent times, dems have tried to be more diplomatic and not so cowboy attitute."
1574,it gives the republicans to fight against
1579,"they look out for yhe people who work hard ,but they need help keeping their head above water"
1581,i believe they stand strongly for the working class
1590,for lower economic status their plan is designed around the poor
1591,i like they have done everything for the working class people as far as i can say republicans have done nothing
1596,some of the ideas they have even though i don't think they are carryed out .they seem to care more about the jobs in our country.they seem to care more about the people in need . they seem to be the ones to stand up for the citizens in need.what i hear advertised but don't always see it.I think in terms of the issues regarding abortion and womans rights some thing have went extreme but I think that woman have a right to say what happens to their body.I like that they give choice.
1601,"prochoice,pro union"
1604,health care plans getting out of Iraq
1615,everything
1616,"is to help people in the U.s. for the people, by the people and to make way for the people and open up clinics, homes and welfare, they help the working class, middle"
1622,they try to give back to the community
1641,"I like that now we have a person running for President who wants to be for ALL people & fix issues that effect all people, I feel that he is going to be making the future better for our children & their children, and that he is looking at a broader prospect on different avenues with energy, and consequences of drilling in the water with all these hurricanes, he is looking at the broader picture & where he came from & where he is is such a positive for any supressed person ""you can do it"" he is such a positive role model for young MEN especially (young men who are not wealthy), not saying that he is perfect but he keeps trying"
1657,more freedom for people
1668,alternate ways for fuel and the economy
1672,the way they handle things
1673,liberal bent to their outlook
1686,"they are for the poor, they want everyone to have healthcare (socialized medicine), they will raise taxes so everyone can have healthcare"
1692,It is for the workers.  Not for the elite.
1699,They are for the working class.
1703,"WORK TOWARDS THE LITTLE GUY,PROGRAMS IN THE 60,S HEPLED PEOPLE1"
1705,"FOR THE POOR AND THE MIDDLE CLASS,"
1707,"more favorable towards the people in the country, more helping, geared towards the middle class"
1721,"They usually help the middle class, and do things for us."
1727,"i like that fact that they are more interested in helping the middle class than the republican party. they are more issues that they believe that I believe in.  I believe that the are more ready for the changes than what has been going on the last 8 years. health care, education, homeownwers, ALso, I feel that the democratic party will be able to establish a better relationship with other countries because we are looked at in a negative way based on what George Bush has done"
1730,they go for minority benefits
1735,promise for change
1736,good check and balance
1739,for good of the people
1743,everything
1747,always looking out for the poor
1759,all about change
1790,the democratic party is comfortable and flexable.
1799,I like what they do for the poor people they seem to do more than the republicans.
1802,i feel like they are more for the middle class and working people and the elderly more for the people like i would fall under.
1808,they stick together
1811,they go for the middle class and elderly
1818,they have more concern for the people
1826,nothing in particular
1829,they keept the benefits up
1832,they will help with jobs and healthcare
1833,they look out for the not so wealthy
1839,at this point they'r more insterested about the country- the middle class-health care democrates  would do better than republicans
1846,basically they're against abortion -
1853,that they are for the working class people
1859,soem of them try to do a better job than others on meeting the repulbican party half way
1864,"ability to inspire,energy"
1866,"health care, they believe in health care for every one."
1873,"more for the working class family,"
1877,they seem to be concerned about the individual
1879,no
1895,that it sounds like they are going to keep thier word on how they will help people that dont have a lot of money
1897,they are doing a good job
1901,it seems that the democrats stabilize the economy for the first 2-3 years then it gets messed up
1910,they picked obama
1913,democrats do more for the hispanic people
1920,the way they always look out for the best interests of the people
1922,they try to get the troops back home as soon as possible
1944,their views are more liberal
1947,economics
1954,they are really trying to help
1959,the fact that they are pro life
1962,I just think we need change
1963,certain political issues and the willingness for change
1967,"help keep the republican party more balanced, concerned about the environment, but they are too extreme on their issues, equality, i like that"
1970,"not as bad as the republican party,"
1980,"I like that they have a very clear idea of what they want in the country.  they are very passionate.  that they do feel that they do want to help the american people, they feel truly that they want to help, and they truly care."
1985,"ideas, views, taxes, health and the war"
1991,painter
2003,"beliefs on economy, war, energy alternatives,"
2006,health care issues;
2016,no
2020,I think they do a better job in the economy when they are in office
2021,They will give more services to the poor.
2029,THEY ARE MORE FOR THE WORKING CLASS PEOPLE THAN FOR THE RICH CORPORATIONS. THEY ARE MORE CONCERNED ABOUT THE HEALTH ISSUES FOR THE ELDERLY.
2034,no
2036,I feel that they are more knowligible about the economy and waht goes on in this country
2038,"they at least help the people who are in need, they take us into consideration"
2040,"THEIR ISSUES ON HEALTH CARE. THEIR MORE LIBERAL VIEWS, NOTHING TOO SPECIFIC."
2042,THE ARE OUT FOR THE PEOPLE. MEDICARE SUPPORT FOR THE ELDERLY.
2045,they seem to work more in favor of the middle class people
2072,I like the way they are handling politics.
2078,that the country did better with democratic  party.
2103,"they hav more in the people as far as policy and laws, more interested in people"
2119,"thet they talk about helping the people with health care, and they want to help the poor people more"
2122,they are in favor of helping low income people
2128,the democratic party does more for the people than the republican party
2138,hope that they concentrate on the economy and employment for the poor
2157,lady nthey chose on the democraytic party
2161,help people more needed poor rich get richer
2162,always voted democrat
2187,family has always been democrats
2205,"try to follow traditions of the dem. party, thy can relate to all of the middle stream people. they have been the minoriy, now they are the majority."
2208,social programs
2210,"Democrats stand up for common people and are tolerant of all views, races, religions and sexual orientations regardless of wealth."
2216,"seems to be more for working, blue collar, lo income"
2222,"tried to help middle class more w taxes, social progrms, more concerned re healthcare etc"
2238,they are more for the people
2240,"they about lower income people they offer more program for lower income poeple and help out more  with grants, gov. funded program."
2245,they are more for the poor than they are for the rich
2248,i like some of the ideas about improving the economy  focus on helping the middle class
2251,no
2253,they are for the working man starting with roosevelt.... they want everybody to be happy and keep the country moving
2257,like the job stance
2260,more moderate towards employees.
2263,they try to help poor people.
2270,try to get better education for people.
2276,<RF>
2281,They seem to be more concerned with the people instead of the corporations
2282,"Like that they are poeple oriented to average person- take care of people of all levels, people on street as well as millionaires.I like the diversity of the party."
2285,"more about helping the people,more about health care into every home."
2289,I think they fight for the people instead of against the people -
2294,Seem to be more for hte people in general
2295,theyare more interested in helping the middle income people
2303,they're pretty much for the unions and the working man
2304,trying to help the health care issues
2306,for the working people
2314,some of thier policies
2318,likes just about everything about the dems
1,"they believe in lowering taxes, willingness to defend the country,"
6,They don't have as many give away programs as the Democrats.
14,"the people that run for office, things seem to be going better when they're in charge,"
16,I think they're trying to hold on to American traditions... although I don't know if they go about it the right way.  They've got a lot of good senators and representatives who are trying to do the right thing.
20,"the opposite of what i just said about the other party... what i think the republican party is supposed to be about - less government,"
50,they are into less taxes
56,they are more serious
67,"i think they are the best party for the us right now, i could say because the reason i  became a republican is i was in business for myself and i changed from democrat to republicn"
82,more away from handouts
85,more along the lines of things i defend
106,some of their members are very conscious of our country's needs
116,i like the emphasis they place on family values and also i am in favor of some deregulation and not having so much government involvement.
126,people i know
133,i fall more to con
145,not so rapped up in enviromental issues that may or may not be real
152,their political platform is more in line with my polical views
153,their more often their solutions are more inclusive than exclusive.
156,i am for nuclear power.
157,the way they deal with foregn matters.
160,they tend to keep taxes low
175,<DK>
188,"they want a balance of govt. in our lives, it used to be that they wanted limited govt i n a citizen's life, now it's become religiously influenced, all of a sudden we are a nation of christians, its promaoted by the rep. party"
192,they are conservative
211,before this last dibocle with the finances i like the way they ahandled corporations.
237,"i think they are mostly for the conservative ideas, gay rights, abortion, immigration issue"
242,Pro life and less government and less taxes.  I like the idea that most republicans have a different view on global warming.
256,they support the military
257,they ten to help stimulate the economy when they focus on small business
261,"VALUES, CONSERVATIVENESS"
272,"fiscally conservative,alot more financial power behind them,pro business"
275,i like that the republican party is the party Lincoln was a part of and at that time they were humanistic  but somewhere along the line they veered away from that
277,abraham lincoln
279,"""the republican party"" as a whole i can't say very lmuch positive about"
302,they try to study about the issue before voting
312,we do not look towards the govt we deal within
313,they have alot of good ideas but just old fashion
315,"they are prolife, that they are conservative, there outlook on the war and with other countries// no"
316,there tendency towards my beliefs and values or moral issues
327,they tend to support smaller government
335,think that I tend to be a little more conservitave and the republican state view
336,HONESTLY FINANCIALLY STABLE DURING THE REPEBLICAL YEARS
343,On a philisophical side I like the less government.   More msmaller government more out of people's life
347,"they do make people more self sufficient, they don't help anybody but th rich people"
348,i seem to have work when they are in office
353,"not so involved with our lives,"
354,they're a little more conservative
360,"christian views, abortion issues same as mine"
382,the conservative policies
398,how do things
401,"for individual responsibility,"
406,used to be for small gov-less taxes
420,"generally their values coincide more with mine/prolife, the war/"
424,"The fact that they are pro business, small govenment, lower taxes, and they have a more conservative approach to handling environmental issues/they're not, global warming is not a huge tenet of their envirsonmental policy, more balanced.   don't want to damage the envrionment, but they are for off shore drilling/"
431,"They survived 8 years in the White House after a really traumatic event toward the United States/I think they handled they handled the dirty deal (World Trade Center), was a bad joke/"
434,they are more conservative.
436,"They havea lot of good leaders, mcCain, Bush.  Other than that, not too much else.  They're definitely for energy/they want to find more means for energy/"
447,"only historically some Rep presidents in our history I did like--the present day republican party, I don't fine much to like"
490,their basic principles if they stick to 'em
509,just like them
522,it's american
527,they help people who want to help themselves.
538,"addressing the emigration situation,against offerring citizenship to neighbors. this goes hand in hand as for the economy, affects labor."
559,agree w alot of things they stand for.
563,not really and thats all i have to say
565,they are start to drill for oil and are not inteted in rise taxs
567,well see i like them b/c of the way they dod thing
570,the lest govement i like they e and soiacl idea's
575,they are big on military; they look out for the military
579,the are for the minatil
581,in particualr no
601,liked it when wives asked for money; Laura is very pleasant woman;  injured boys in military get help;
605,more conservative//take their time thinking things thru//no
608,sid with them on law enforcement issues
618,"how they handle the war in all these foreign countries,"
625,i just like them
641,prolife
642,"conservation, traditional,values, some policies"
648,"stand up for whats good reenforce no abortion, no gay marriages, they believe in christianity"
651,"there policies towards business, policy on war in iraq and national security"
657,look out for the well being of large companys which in return keeps the employees employed and the ecomony flowing.
665,THEY ARE MAINLY CONCERVTIVES
667,"in theory they are about less government and more for the capitalist mind set a person can set their own future, they set how high they can go"
670,they are more conservative
685,they are not democrats
690,Sarah Palin
695,They are trying to help and improve the economy.
710,i respect them
714,"trying to help the gas prices,health insurance,getting more jobs"
721,business acumen
735,the are more conservitate like me
743,they tend to be more conserviative they seem to think a littlebit more
756,"I appreciate the values the republican party brings forth to the american people. Characteristics such as family values, christianity, stimulating the economy by challenging the mind. The no child left behind act has been extremely successful. For the first time in my experiences I can see public schools being held accountable for the success rate of every learner. I also like how the republican party upholds the constitutional right of every american citizen in this country. The lack of big spending and balancing the budget are appreciated as well. I like how the rep. party promotes independence of the american employer and employee/worker. They do not opperate on taking from the government but developing productive  citizens in this country. I also appreciate the rep. party for upholding our constitutional right to bear arms."
765,they kind of put more delicates things on the back burner; they put foreign policies up front; say Sept 11; the way they go about it i don't like
784,"i DO UNDERSTAAND THEIR VIEWS TOWARD ABORTION, x No"
786,Conservative
808,MORE MERIT JOB PRONE
810,I like their ideas of less government. I like their ideas of not having gun control. I like their views on moral issues.
828,There emphasis on family are a bedrock of society
846,they have more leadership abilities and put the U.S. first before outher countries.
847,"Everything. Their stand on religion, abortion, guns/"
869,THEY ARE CONSERVATIVE. MORE SUPPORTIVE OF BUSINESS. ANTI-ABORTION. PRO-FAMILY VALUES.
879,the rep part is nice and have a good time
910,"i like the raise they gave the military,"
964,like that they have mccain becauses of his being a vet
966,helps out the immagrants
968,THERE ARE ok
973,LEAVING MORE GOVT TO STATES
975,loyalty
977,less government
982,they have a more realistic view of economics in this country
987,a more conservative view which is more fitting for my background
990,"to hold on tpo what they have earned, the rep. stand for self achievemnt and they provide opportuinities, let people have their own choices let people use what is a vailable to us in this country, I dont want the govt to tell me what to do"
1007,I can put up with them
1011,"they stick together, they have the wherewithall to do whatever they want to do, I like that they are vocal,"
1030,they seem to be more realistic.
1053,they are up front they dont fool you they know what they are going to do and stick with it
1071,I like them.
1079,some of the people in the republican party
1097,"i perceive that they are more supportive of a free market where ingenuity and creativity can flourish, unfettered , by invasive govt regulations, they seem far more supportive of the individuals ability to better his life or her life, with out the overriding dependency on big govt"
1098,"socially conservative, reduce spending,"
1100,money issues; military -- we're fighting the war over there instead of here
1109,pro-life; pro-business; anti-tax; pro-American; higher moral standard; they don't race bait; anti-bigot; pro-family; no pro-homosexual agenda; against hiring by race quotas;
1112,in general they're fiscally responsible with the taxpayers' money; there's a commitment to the defense of our nation as far as the armed forces;
1114,knowledgeable politicians serving the people; they make people more accountable for their actions;
1116,"conservative stance on some issues that are important to me; I like their symbol, the elephant; both parties have embraced women more;"
1117,traditionally they favor lower taxes and less government than the democratic party in general; they promote policies that promote individual responsibility and they also protect individual rights
1125,they are not a spend thrift live within your means
1131,<DK>
1133,they stand together on all isssues whether they are good or bad
1134,ifeel its a fair warning not to hung up on republicans can not go there
1154,I vote for the person not for the Democrat or Republican
1156,I like that they're solid they're determined and they set a goal//
1158,dont knnow much about party
1159,i like to see how they celebrate
1180,because i am one
1205,"To realize this is a physical discipline in spending money. This party asks the question ""why do we need to spend those dollars?"""
1206,"their stand on right to life, their unbiased tax rules, the point that all Republicans pretty much stand together"
1225,Basically I was born a republican. They want you to go out and make it on your own in the world. That's what I feel like it's about. They're not always asking for handouts.
1230,i am a conservative and have always voted republican.
1231,they are conservative.
1234,they always find a way to be competitive in the campaign
1235,they are more for the people
1238,favors business more
1240,ATTEMPT TO LESSEN GOVERNMENT
1242,THE WAY THEY HANDLE TAXES  JUST THAT ARE CONSERATIVE
1244,they r more concerned with issues that effect me
1247,their are conserative
1248,how they handle smell business
1266,stand on family values
1268,overall as a party i like their stance on fiscal conservatism and national security
1269,they look to the future vs spending right now
1272,i like their consevative taxation.
1275,it is my overall feeling i have always been republican. they fight harder
1278,business attitude and strength in national defense nuclear family policy
1279,conservative
1281,"conservative, pro life no problem with religion or guns, better values overall"
1283,more for the middle class
1285,there cultural conservative points like abortion and gay marriage
1289,I like their beleifs on the war and the current financial crisis.
1294,level of patroitism in it's members
1312,mccain is good man and experienced
1348,they are more open to different ideas.
1349,strong & greedy
1351,marriage  between a man & a woman
1357,they are better at being politicians and practical at getting people to believe them
1378,well they are more conservative then the dems  less gun control they dont want ot give into the un and let them have a larger influence on our government system not for same sex marriage and abortion and that kind of stuff
1386,like the fact they are aligned with conservatism. Their idea of conservatism is different than mine.
1389,they are organized
1394,"well if they would stick to the conservative values  as far as spending taxes health care privatisation of Social Security war in Irazq and Afganistan,"
1398,there views on abortion righgts and conservative views
1401,they are more open minded
1407,health insurance
1410,seem to be a party that holds people accountable
1411,they hold on to conservative values
1421,sometimes they agree with the democrats.  individualy some of the republican are admirable and honest and the rest are suspect.
1426,"todo, no me gusta como actuan, ofrecen lo que no pueden dar"
1428,Mi mama era repulicana.
1444,i admire that they are very loyal to one another
1450,they are strong supporters of Israel
1469,they lower our taxes all the time
1476,I like that it has a stronger stand in the military it is more individually responsible rather then taking resp for everyone else I agree more w/ rep concepts and policies
1513,THEY REDUCE TAXES TO ENCOURAGE INVESTMENTS AND TO OFFER MORE EMPLYMENT OPPORTUNITIES.
1528,they seem more sticker conservative
1533,"they want less government; and their moral positions or platform; democrats are intolerant of people with religious convictions and republicans take a more favorable stance toward it.  Generally, they are more against abortion, gay marriage, stem cell research, etc."
1541,female running for vice president
1560,they don't approve of abortion
1563,little more conservative -
1567,thinks that the party is good because Obama is willing to make changes
1575,"they are pro average America, they seem to be for all segments of American society, whereas the Dems don't focus on the whole.  The Dems are coalition of a lot of special interests."
1582,they have a good defense of our country
1584,i think thier moor pro amerian and values
1588,they're are some are doing their jobs.
1593,help the nation
1596,"lately it appears they are not for socialism.they come across as not wanting to ,they seem for businessess and not against them.I believe in terms of national security that they threats more seriously than the democrats."
1601,"pro-military, energy independence, drill for oil,"
1606,"usually spend less, believe people should help self, don't wAnt people to sleep thru life"
1627,"they seem to be more up front and honest, they let you know what side of the fence they're on"
